question,topic,x,y
Overweight or obesity among women aged 18-44 years,"Nutrition, Physical Activity, and Weight Status",7.159418,-8.5475235
Awareness of high blood pressure among adults aged >= 18 years,Cardiovascular Disease,0.5192438,-5.4657764
Activity limitation due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,Arthritis,-1.8656008,0.75993055
Recent physically unhealthy days among adults aged >= 18 years,Overarching Conditions,3.749348,-2.3094773
Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,-10.226729,-3.650741
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,Diabetes,-7.095055,0.7054351
Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,Cardiovascular Disease,-6.879862,-1.7682775
Current cigarette smoking among women aged 18-44 years,Tobacco,5.608271,-7.320218
Hospitalization with diabetes as a listed diagnosis,Diabetes,-9.084603,-7.2790055
Current health care coverage among women aged 18-44 years,Overarching Conditions,3.8166888,-6.4326253
Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,Chronic Obstructive Pulmonary Disease,-9.442682,-3.1731443
Arthritis among adults aged >= 18 years who have heart disease,Arthritis,-0.79916656,-0.6579241
Hospitalization for chronic obstructive pulmonary disease as any diagnosis,Chronic Obstructive Pulmonary Disease,-12.0889845,-6.5479493
Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,Arthritis,-2.5829756,0.33423266
Median daily frequency of vegetable consumption among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",6.683513,1.172117
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,Tobacco,-7.3563766,2.4623003
"Invasive cancer of the cervix, incidence",Cancer,-16.70883,1.9457029
Asthma prevalence among women aged 18-44 years,Asthma,7.764592,-7.77005
Binge drinking prevalence among youth,Alcohol,9.5011015,-2.0482306
Severe joint pain due to arthritis among adults aged >= 18 years who have doctor-diagnosed arthritis,Arthritis,-1.8406278,1.0604708
Gini Index of income inequality,Overarching Conditions,8.430385,2.4346294
Prevalence of chronic obstructive pulmonary disease among adults >= 18,Chronic Obstructive Pulmonary Disease,-11.247946,-3.4558327
No leisure-time physical activity among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",3.2391124,-3.2966511
Current cigarette smoking among youth,Tobacco,11.931865,-0.9295235
Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,Diabetes,-0.47918704,2.799054
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,Tobacco,-6.0429845,2.8347402
Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma,Asthma,-7.8569613,1.2504547
Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,-9.389075,-1.5412165
Obesity among high school students,"Nutrition, Physical Activity, and Weight Status",14.137114,7.5180354
Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,Diabetes,-7.388788,0.4708154
"Cancer of the female breast, mortality",Cancer,-16.403059,3.5854414
"Invasive cancer (all sites combined), mortality",Cancer,-12.173729,3.8699124
Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,-10.8556595,-4.073305
Alcohol use before pregnancy,Alcohol,13.078417,-3.0558813
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,Cardiovascular Disease,-6.159603,-0.98623776
Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,Cardiovascular Disease,-7.007593,-1.264311
Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,Chronic Obstructive Pulmonary Disease,-9.757889,-4.2316403
Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,Cardiovascular Disease,-6.244241,-1.487939
"Cancer of the colon and rectum (colorectal), incidence",Cancer,-14.19672,3.1606686
Amputation of a lower extremity attributable to diabetes,Diabetes,-8.054457,-9.505485
Secondary schools that offer less healthy foods as competitive foods,"Nutrition, Physical Activity, and Weight Status",9.13602,10.7414055
State child care regulation supports onsite breastfeeding,"Nutrition, Physical Activity, and Weight Status",-0.68228483,-10.166099
Participation in daily school physical education classes among high school students,"Nutrition, Physical Activity, and Weight Status",12.533493,8.327902
Oral health services at Federally Qualified Health Centers,Oral Health,2.7446308,6.059959
"Invasive cancer of the female breast, incidence",Cancer,-16.879402,3.1314964
Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,Diabetes,-1.9135606,-4.179269
Prevalence of pre-pregnancy diabetes,Diabetes,-4.6493125,-6.4765406
Life expectancy at age 65 years,Overarching Conditions,7.1450057,-4.269895
Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,Diabetes,-5.9134064,1.1390173
Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,Arthritis,-2.223479,1.3008446
Secondary schools that allow students to purchase sports drinks,"Nutrition, Physical Activity, and Weight Status",9.67053,9.629933
Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",4.5220103,4.814595
"Cancer of the oral cavity and pharynx, mortality",Cancer,-14.444137,1.6012073
"Invasive cancer (all sites combined), incidence",Cancer,-12.186677,3.8671062
Percent tobacco revenue to fund at CDC recommended level,Tobacco,6.709254,4.62124
Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,Diabetes,-1.9886056,-3.6947243
Census tracts with healthier food retailers within ½ mile of boundary,"Nutrition, Physical Activity, and Weight Status",7.87191,6.6009026
"Invasive melanoma, incidence",Cancer,-18.403212,1.3587292
"Cancer of the prostate, mortality",Cancer,-16.04616,2.4160366
Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,Chronic Obstructive Pulmonary Disease,-10.8358555,-7.301674
Preventive dental care before pregnancy,Oral Health,-2.7796836,-8.816497
Presence of regulations pertaining to serving fruit in early care and education settings,"Nutrition, Physical Activity, and Weight Status",6.7110424,8.651287
High school completion among women aged 18-44 years,Overarching Conditions,2.8984601,-8.55209
"Cancer of the female cervix, mortality",Cancer,-15.920845,3.3243284
"Invasive cancer of the oral cavity or pharynx, incidence",Cancer,-14.528592,1.6928886
Awareness of high blood pressure among women aged 18-44 years,Cardiovascular Disease,1.4918461,-6.627154
Live births occurring at Baby Friendly Facilities,"Nutrition, Physical Activity, and Weight Status",6.321042,6.4029775
Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,"Nutrition, Physical Activity, and Weight Status",4.7528033,4.9380875
"Proportion of the population protected by a comprehensive smoke-free policy prohibiting smoking in all indoor areas of workplaces and public places, including restaurants and bars",Tobacco,7.4168553,7.660079
Infants breastfed at 6 months,"Nutrition, Physical Activity, and Weight Status",-3.504812,5.31571
Life expectancy at birth,Overarching Conditions,4.4685903,1.2856764
"Cancer of the colon and rectum (colorectal), mortality",Cancer,-14.212054,3.158998
Healthy weight among high school students,"Nutrition, Physical Activity, and Weight Status",13.614881,7.385726
States with strong polices that require retail licenses to sell tobacco products,Tobacco,5.757832,10.674029
Pre-pregnancy hypertension,Cardiovascular Disease,-4.4438777,-6.538965
Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis,Chronic Obstructive Pulmonary Disease,-10.490478,-7.3756227
"Cancer of the lung and bronchus, incidence",Cancer,-15.558205,0.8292957
"Melanoma, mortality",Cancer,-18.641045,1.040732
Mean maternity practices in infant nutrition care (mPINC) score,"Nutrition, Physical Activity, and Weight Status",3.0326385,7.8347507
Health insurance coverage before pregnancy,Overarching Conditions,0.42708606,6.1044745
Overweight or obesity among high school students,"Nutrition, Physical Activity, and Weight Status",14.320098,7.2917128
Television viewing among high school students,"Nutrition, Physical Activity, and Weight Status",13.52784,9.20351
"Cancer of the lung and bronchus, mortality",Cancer,-15.569271,0.7500787
Secondary schools that allow students to purchase soda or fruit drinks,"Nutrition, Physical Activity, and Weight Status",9.577694,9.777189
Median daily frequency of vegetable consumption among high school students,"Nutrition, Physical Activity, and Weight Status",11.660919,5.826635
Local authority to regulate alcohol outlet density,Alcohol,7.050296,11.313459
Preventive dental visits among children and adolescents aged 1-17 years,Oral Health,1.4431366,2.763016
Prevalence of gestational diabetes,Diabetes,-5.9990797,-6.647515
Presence of regulations pertaining to avoiding sugar in early care and education settings,"Nutrition, Physical Activity, and Weight Status",6.2942233,8.794338
Secondary schools that allow community-sponsored use of physical activity facilities by youth outside of normal school hours,"Nutrition, Physical Activity, and Weight Status",8.411921,8.544427
Meeting aerobic physical activity guidelines among high school students,"Nutrition, Physical Activity, and Weight Status",11.775628,8.204778
"Number of farmers markets per 100,000 residents","Nutrition, Physical Activity, and Weight Status",8.594169,5.173167
Farmers markets that accept Supplemental Nutrition Assistance Program (SNAP) benefits,"Nutrition, Physical Activity, and Weight Status",3.8208525,8.858219
Soda consumption among high school students,"Nutrition, Physical Activity, and Weight Status",12.869121,6.77
Computer use among high school students,"Nutrition, Physical Activity, and Weight Status",13.225215,8.681146
Receiving formula supplementation within the first 2 days of life among breastfed infants,"Nutrition, Physical Activity, and Weight Status",-2.8264468,5.2490582
"Invasive cancer of the prostate, incidence",Cancer,-16.99285,2.218021
Commercial host (dram shop) liability laws,Alcohol,3.1422021,11.372108
Secondary schools that have a comprehensive tobacco-free school policy in place,Tobacco,7.969104,9.108394
Median daily frequency of fruit consumption among high school students,"Nutrition, Physical Activity, and Weight Status",11.659744,5.831804
Presence of regulations pertaining to screen time in early care and education settings,"Nutrition, Physical Activity, and Weight Status",6.1714263,8.311815
Farmers markets that accept Women and Infant Children (WIC) farmers market nutrition program coupons,"Nutrition, Physical Activity, and Weight Status",3.6840045,8.694246
Population served by community water systems that receive optimally fluoridated drinking water,Oral Health,8.947663,7.4569535
Presence of regulations pertaining to serving vegetables in early care and education settings,"Nutrition, Physical Activity, and Weight Status",6.724453,8.563239
Dental visits among children and adolescents aged 1-17 years,Oral Health,1.4746842,2.7204928
Poverty among women aged 18-44 years,Overarching Conditions,6.23981,-8.954646
